,strain,id,start,stop,strand
0,10272,10272_opa_6,1497887.0,1498706.0,-1
1,10574,10574_opa_6,1471128.0,1471921.0,-1
2,10610,10610_opa_10,2102791.0,2103614.0,-1
3,1123850,1123850_opa_3,494891.0,495718.0,-1
4,9399,9399_opa_6,1497876.0,1498699.0,-1
5,AT159,AT159_opa_1,70615.0,71421.0,-1
6,AUNG1065,AUNG1065_opa_1,69325.0,70199.0,-1
7,CCC028,CCC028_opa_10,1737074.0,1737899.0,1
8,EEE034,EEE034_opa_8,1525041.0,1525877.0,1
9,FA1090,FA1090_opa_1,69141.0,69955.0,-1
10,FA1090,FA1090_opa_2,74893.0,75691.0,-1
11,FA1090,FA1090_opa_3,925020.0,925868.0,1
12,FA1090,FA1090_opa_4,999845.0,1000690.0,-1
13,FA1090,FA1090_opa_5,1035310.0,1036079.0,1
14,FA1090,FA1090_opa_6,1231549.0,1232378.0,1
15,FA1090,FA1090_opa_7,1427668.0,1428500.0,-1
16,FA1090,FA1090_opa_8,1482711.0,1483543.0,1
17,FA1090,FA1090_opa_9,1532594.0,1533382.0,1
18,FA1090,FA1090_opa_10,1831455.0,1832296.0,-1
19,FA1090,FA1090_opa_11,2037630.0,2038433.0,-1
20,GCGS0245,GCGS0245_opa_8,1348523.0,1349315.0,1
21,NG196,NG196_opa_6,1124580.0,1125415.0,1
22,NG290,NG290_opa_6,1125670.0,1126493.0,1
23,TUM15748,TUM15748_opa_1,69329.0,70153.0,-1
24,UMASS-DGI_26,UMASS-DGI_26_opa_2,74272.0,75057.0,-1
25,WHO_C_2024,WHO_C_2024_opa_8,1469376.0,1470145.0,1
26,WHO_L_2024,WHO_L_2024_opa_11,2052838.0,2053632.0,-1
27,WHO_T_2024,WHO_T_2024_opa_6,1163549.0,1164352.0,1
